Frame,Timestamp_seconds,Condition,Confidence,X1,Y1,X2,Y2
66,6.6,Normal,0.542,684,464,795,534
66,6.6,Missing,0.537,492,463,550,535
66,6.6,Normal,0.298,496,235,606,308
67,6.7,Normal,0.886,478,474,596,549
67,6.7,Normal,0.787,477,246,597,319
67,6.7,Normal,0.629,673,8,785,82
67,6.7,Normal,0.54,674,244,784,317
67,6.7,Inverted,0.534,677,476,790,547
67,6.7,Normal,0.474,479,7,600,83
68,6.8,Normal,0.822,676,266,792,338
68,6.8,Normal,0.791,486,34,602,108
68,6.8,Normal,0.775,486,502,602,576
68,6.8,Normal,0.772,676,503,793,576
68,6.8,Normal,0.762,677,36,794,110
68,6.8,Inverted,0.703,482,267,596,344
69,6.9,Normal,0.827,487,313,604,385
69,6.9,Normal,0.766,489,91,603,162
69,6.9,Normal,0.75,682,312,793,385
69,6.9,Normal,0.746,485,536,605,608
69,6.9,Normal,0.689,684,534,793,607
69,6.9,Missing,0.561,687,91,789,161
70,7.0,Normal,0.841,686,624,796,699
70,7.0,Normal,0.812,497,157,609,229
70,7.0,Normal,0.81,688,156,796,230
70,7.0,Normal,0.795,495,622,608,697
70,7.0,Normal,0.603,687,392,795,462
70,7.0,Missing,0.564,491,393,588,464
71,7.1,Normal,0.754,497,171,609,246
71,7.1,Normal,0.753,496,419,607,493
71,7.1,Normal,0.57,686,421,795,495
72,7.2,Normal,0.862,482,186,602,260
72,7.2,Normal,0.842,679,185,792,259
72,7.2,Normal,0.831,485,423,602,498
72,7.2,Normal,0.275,680,651,791,719
73,7.3,Normal,0.85,484,42,602,116
73,7.3,Normal,0.825,485,511,602,587
73,7.3,Normal,0.806,680,276,791,351
73,7.3,Normal,0.764,681,510,791,587
73,7.3,Normal,0.409,483,278,601,351
74,7.4,Normal,0.877,688,467,796,540
74,7.4,Normal,0.877,496,467,609,541
74,7.4,Normal,0.771,498,228,609,302
74,7.4,Fractured,0.273,697,230,798,306
75,7.5,Normal,0.907,677,141,795,216
75,7.5,Normal,0.868,680,381,791,458
75,7.5,Normal,0.834,481,611,602,686
75,7.5,Normal,0.77,484,382,604,459
75,7.5,Normal,0.63,679,610,792,682
76,7.6,Normal,0.845,495,434,607,509
76,7.6,Normal,0.785,687,434,796,507
76,7.6,Normal,0.784,687,206,795,279
77,7.7,Normal,0.857,685,425,794,500
77,7.7,Normal,0.844,496,422,609,500
77,7.7,Normal,0.632,686,193,795,269
77,7.7,Fractured,0.486,497,197,608,270
78,7.8,Normal,0.89,679,93,794,168
78,7.8,Normal,0.879,482,94,604,170
78,7.8,Normal,0.872,679,319,792,395
78,7.8,Normal,0.865,679,550,792,624
78,7.8,Normal,0.748,483,321,602,396
79,7.9,Normal,0.871,682,313,791,390
79,7.9,Normal,0.852,483,314,603,388
79,7.9,Normal,0.849,680,76,795,153
79,7.9,Normal,0.845,482,550,603,626
79,7.9,Normal,0.746,483,79,604,154
80,8.0,Normal,0.864,497,263,609,337
80,8.0,Normal,0.833,497,32,610,106
80,8.0,Normal,0.819,687,496,797,569
80,8.0,Normal,0.687,685,31,798,108
80,8.0,Normal,0.514,688,263,797,338
80,8.0,Inverted,0.348,685,262,798,339
81,8.1,Normal,0.875,681,459,794,533
81,8.1,Normal,0.838,487,458,604,534
81,8.1,Normal,0.754,488,238,603,312
82,8.2,Normal,0.855,496,603,607,679
82,8.2,Normal,0.795,683,135,795,207
82,8.2,Normal,0.773,683,364,794,437
82,8.2,Normal,0.723,686,605,796,680
82,8.2,Normal,0.69,494,133,605,209
83,8.3,Normal,0.886,681,554,794,629
83,8.3,Normal,0.827,486,553,604,629
83,8.3,Normal,0.822,680,335,795,411
83,8.3,Normal,0.82,484,336,605,411
83,8.3,Normal,0.787,484,124,604,199
83,8.3,Fractured,0.627,685,126,794,201
84,8.4,Normal,0.857,499,556,609,634
84,8.4,Normal,0.821,688,328,796,402
84,8.4,Normal,0.801,687,104,795,177
84,8.4,Normal,0.675,498,328,609,401
84,8.4,Normal,0.554,688,560,795,633
84,8.4,Fractured,0.417,490,105,605,181
85,8.5,Normal,0.859,686,565,796,639
85,8.5,Normal,0.844,497,97,608,172
85,8.5,Normal,0.84,685,327,796,403
85,8.5,Normal,0.754,497,326,610,401
85,8.5,Fractured,0.726,685,101,789,175
85,8.5,Normal,0.698,495,564,607,638
86,8.6,Normal,0.82,484,297,604,372
86,8.6,Normal,0.804,683,70,794,146
86,8.6,Normal,0.759,485,71,604,145
86,8.6,Normal,0.727,482,527,603,603
86,8.6,Normal,0.618,682,298,793,372
87,8.7,Normal,0.793,495,482,607,556
87,8.7,Normal,0.647,496,248,607,320
87,8.7,Normal,0.642,687,482,796,558
87,8.7,Normal,0.476,684,14,796,85
87,8.7,Normal,0.288,498,15,609,85
88,8.8,Normal,0.888,682,194,796,268
88,8.8,Normal,0.858,483,415,604,489
88,8.8,Normal,0.854,683,413,796,487
88,8.8,Normal,0.561,483,637,603,710
88,8.8,Normal,0.467,681,636,797,710
89,8.9,Normal,0.829,480,271,595,344
89,8.9,Normal,0.81,476,503,594,579
89,8.9,Normal,0.789,478,35,596,110
89,8.9,Normal,0.738,673,503,782,577
89,8.9,Normal,0.641,673,269,783,343
89,8.9,Inverted,0.354,673,36,787,109
90,9.0,Normal,0.854,485,559,602,635
90,9.0,Normal,0.806,677,106,794,180
90,9.0,Normal,0.778,485,331,601,406
90,9.0,Inverted,0.718,679,337,790,409
90,9.0,Normal,0.713,676,558,793,634
90,9.0,Normal,0.555,486,105,601,179
91,9.1,Normal,0.795,496,154,607,228
91,9.1,Normal,0.793,687,156,795,229
91,9.1,Normal,0.764,496,590,609,666
91,9.1,Normal,0.744,495,378,609,453
91,9.1,Normal,0.737,685,379,796,455
92,9.2,Normal,0.871,681,356,796,431
92,9.2,Normal,0.797,682,130,796,204
92,9.2,Normal,0.796,684,577,795,655
92,9.2,Normal,0.762,484,579,604,654
92,9.2,Normal,0.745,483,132,602,204
93,9.3,Normal,0.787,490,460,602,535
93,9.3,Normal,0.736,679,461,795,533
93,9.3,Normal,0.718,679,235,793,307
93,9.3,Inverted,0.575,483,236,565,308
94,9.4,Normal,0.867,675,575,784,648
94,9.4,Normal,0.86,479,115,598,188
94,9.4,Normal,0.802,481,576,597,649
94,9.4,Inverted,0.679,481,351,600,425
94,9.4,Normal,0.672,675,113,789,185
94,9.4,Normal,0.62,674,346,784,419
95,9.5,Normal,0.868,482,555,596,629
95,9.5,Normal,0.77,676,325,784,397
95,9.5,Inverted,0.733,673,89,783,162
95,9.5,Normal,0.73,483,87,596,161
95,9.5,Normal,0.6,675,555,783,628
95,9.5,Normal,0.521,481,325,596,399
96,9.6,Normal,0.878,686,593,796,668
96,9.6,Normal,0.863,685,379,796,455
96,9.6,Normal,0.849,495,153,608,228
96,9.6,Normal,0.819,496,590,609,667
96,9.6,Normal,0.805,686,155,795,229
96,9.6,Inverted,0.692,489,378,605,454
97,9.7,Normal,0.882,688,232,796,306
97,9.7,Normal,0.876,686,455,795,530
97,9.7,Normal,0.763,498,231,610,306
97,9.7,Normal,0.719,496,21,608,94
97,9.7,Normal,0.701,496,454,612,529
97,9.7,Inverted,0.445,683,21,796,99
98,9.8,Normal,0.858,675,533,787,606
98,9.8,Normal,0.84,480,533,596,609
98,9.8,Normal,0.832,481,70,595,141
98,9.8,Inverted,0.814,676,302,783,380
98,9.8,Normal,0.798,482,300,596,372
98,9.8,Normal,0.745,675,68,786,140
99,9.9,Normal,0.864,689,86,797,160
99,9.9,Normal,0.82,495,540,609,614
